ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_roc_auc,std_test_roc_auc
gine_full_model,clintox,scaffold,classification,roc_auc,5,0.8162,0.0159,0.7965,0.8359,0.0197,"[0.8317, 0.8291, 0.8215, 0.8014, 0.7974]",optuna_tuned:best_config.json,0.8162,0.0159
gine_full_model,toxcast,scaffold,classification,roc_auc,5,0.633,0.0066,0.6248,0.6412,0.0082,"[0.6384, 0.6371, 0.6353, 0.6325, 0.6219]",optuna_tuned:best_config.json,0.633,0.0066
gine_full_model,hiv,scaffold,classification,roc_auc,5,0.7684,0.0041,0.7632,0.7735,0.0051,"[0.7722, 0.7705, 0.7704, 0.7669, 0.7618]",optuna_tuned:best_config.json,0.7684,0.0041
gine_no_3d,tox21,scaffold,classification,roc_auc,5,0.7437,0.0045,0.738,0.7493,0.0056,"[0.7502, 0.7446, 0.7443, 0.7417, 0.7377]",optuna_tuned:best_config.json(full_model_sibling),0.7437,0.0045
gine_no_3d,bbbp,scaffold,classification,roc_auc,5,0.7381,0.0074,0.7289,0.7473,0.0092,"[0.7474, 0.7431, 0.7373, 0.7338, 0.7288]",optuna_tuned:best_config.json(full_model_sibling),0.7381,0.0074
gine_no_3d,bace,scaffold,classification,roc_auc,5,0.805,0.0291,0.7689,0.8412,0.0362,"[0.8409, 0.8188, 0.8125, 0.787, 0.7659]",optuna_tuned:best_config.json(full_model_sibling),0.805,0.0291
gine_no_3d,sider,scaffold,classification,roc_auc,5,0.5806,0.0183,0.558,0.6033,0.0227,"[0.6033, 0.5977, 0.5686, 0.5668, 0.5667]",optuna_tuned:best_config.json(full_model_sibling),0.5806,0.0183
gine_no_3d,clintox,scaffold,classification,roc_auc,5,0.7886,0.0237,0.7592,0.8181,0.0295,"[0.8067, 0.8056, 0.793, 0.7896, 0.7484]",optuna_tuned:best_config.json(full_model_sibling),0.7886,0.0237
gine_no_3d,toxcast,scaffold,classification,roc_auc,5,0.6282,0.0074,0.619,0.6374,0.0092,"[0.6356, 0.6312, 0.6303, 0.6279, 0.6159]",optuna_tuned:best_config.json(full_model_sibling),0.6282,0.0074
gine_no_3d,hiv,scaffold,classification,roc_auc,5,0.7567,0.0133,0.7401,0.7732,0.0166,"[0.7674, 0.767, 0.7639, 0.7468, 0.7383]",optuna_tuned:best_config.json(full_model_sibling),0.7567,0.0133
gine_no_infonce,tox21,scaffold,classification,roc_auc,5,0.7454,0.0092,0.734,0.7569,0.0115,"[0.757, 0.7506, 0.7443, 0.743, 0.7323]",optuna_tuned:best_config.json(full_model_sibling),0.7454,0.0092
gine_no_infonce,bbbp,scaffold,classification,roc_auc,5,0.7393,0.0047,0.7334,0.7452,0.0059,"[0.7454, 0.7418, 0.7398, 0.7362, 0.7332]",optuna_tuned:best_config.json(full_model_sibling),0.7393,0.0047
gine_no_infonce,bace,scaffold,classification,roc_auc,5,0.7875,0.0055,0.7807,0.7944,0.0068,"[0.7962, 0.7886, 0.7868, 0.7846, 0.7815]",optuna_tuned:best_config.json(full_model_sibling),0.7875,0.0055
gine_no_infonce,sider,scaffold,classification,roc_auc,5,0.5831,0.0181,0.5606,0.6055,0.0225,"[0.6058, 0.594, 0.5809, 0.5765, 0.5581]",optuna_tuned:best_config.json(full_model_sibling),0.5831,0.0181
gine_no_infonce,clintox,scaffold,classification,roc_auc,5,0.7968,0.0591,0.7234,0.8701,0.0733,"[0.8377, 0.8358, 0.8291, 0.7819, 0.6993]",optuna_tuned:best_config.json(full_model_sibling),0.7968,0.0591
gine_no_infonce,toxcast,scaffold,classification,roc_auc,5,0.631,0.0074,0.6219,0.6402,0.0091,"[0.6399, 0.6376, 0.628, 0.627, 0.6227]",optuna_tuned:best_config.json(full_model_sibling),0.631,0.0074
gine_no_infonce,hiv,scaffold,classification,roc_auc,5,0.7722,0.0144,0.7543,0.7901,0.0179,"[0.7934, 0.7797, 0.7677, 0.7626, 0.7576]",optuna_tuned:best_config.json(full_model_sibling),0.7722,0.0144
gine_no_codebook,tox21,scaffold,classification,roc_auc,5,0.7513,0.0071,0.7425,0.7601,0.0088,"[0.7598, 0.7539, 0.7529, 0.7496, 0.7405]",optuna_tuned:best_config.json(full_model_sibling),0.7513,0.0071
gine_no_codebook,bbbp,scaffold,classification,roc_auc,5,0.7375,0.0166,0.7169,0.7581,0.0206,"[0.7644, 0.7402, 0.7342, 0.7278, 0.7212]",optuna_tuned:best_config.json(full_model_sibling),0.7375,0.0166
gine_no_codebook,bace,scaffold,classification,roc_auc,5,0.8207,0.0066,0.8126,0.8289,0.0082,"[0.827, 0.8244, 0.8231, 0.819, 0.8101]",optuna_tuned:best_config.json(full_model_sibling),0.8207,0.0066
gine_no_codebook,sider,scaffold,classification,roc_auc,5,0.6137,0.016,0.5938,0.6336,0.0199,"[0.6312, 0.6229, 0.6187, 0.6051, 0.5905]",optuna_tuned:best_config.json(full_model_sibling),0.6137,0.016
gine_no_codebook,clintox,scaffold,classification,roc_auc,5,0.8309,0.0173,0.8094,0.8524,0.0215,"[0.8489, 0.8401, 0.8378, 0.8226, 0.805]",optuna_tuned:best_config.json(full_model_sibling),0.8309,0.0173
gine_no_codebook,toxcast,scaffold,classification,roc_auc,5,0.6443,0.0037,0.6397,0.6489,0.0046,"[0.6483, 0.6466, 0.6455, 0.6419, 0.6392]",optuna_tuned:best_config.json(full_model_sibling),0.6443,0.0037
gine_no_codebook,hiv,scaffold,classification,roc_auc,5,0.7693,0.0131,0.753,0.7856,0.0163,"[0.792, 0.7669, 0.7654, 0.7638, 0.7584]",optuna_tuned:best_config.json(full_model_sibling),0.7693,0.0131
gine_no_fp,tox21,scaffold,classification,roc_auc,4,0.7398,0.0055,0.7311,0.7485,0.0087,"[0.7479, 0.7384, 0.7367, 0.7362]",optuna_tuned:best_config.json(full_model_sibling),0.7398,0.0055
gine_no_fp,bbbp,scaffold,classification,roc_auc,5,0.6951,0.0177,0.6731,0.7171,0.022,"[0.716, 0.7098, 0.6936, 0.6816, 0.6746]",optuna_tuned:best_config.json(full_model_sibling),0.6951,0.0177
gine_no_fp,bace,scaffold,classification,roc_auc,5,0.7819,0.009,0.7707,0.793,0.0111,"[0.79, 0.7873, 0.7861, 0.7781, 0.7679]",optuna_tuned:best_config.json(full_model_sibling),0.7819,0.009
gine_no_fp,sider,scaffold,classification,roc_auc,5,0.6046,0.0212,0.5783,0.6309,0.0263,"[0.6356, 0.6079, 0.6058, 0.5966, 0.5771]",optuna_tuned:best_config.json(full_model_sibling),0.6046,0.0212
gine_no_fp,clintox,scaffold,classification,roc_auc,5,0.8071,0.0429,0.7538,0.8605,0.0533,"[0.8497, 0.8379, 0.8139, 0.7931, 0.741]",optuna_tuned:best_config.json(full_model_sibling),0.8071,0.0429
gine_no_fp,toxcast,scaffold,classification,roc_auc,3,0.6284,0.0064,0.6125,0.6443,0.0159,"[0.6344, 0.629, 0.6216]",optuna_tuned:best_config.json(full_model_sibling),0.6284,0.0064
gine_no_fp,hiv,scaffold,classification,roc_auc,3,0.7507,0.0108,0.7239,0.7775,0.0268,"[0.7618, 0.75, 0.7402]",optuna_tuned:best_config.json(full_model_sibling),0.7507,0.0108
gine_no_3d_infonce,tox21,scaffold,classification,roc_auc,3,0.7519,0.0023,0.7463,0.7576,0.0056,"[0.7537, 0.7528, 0.7494]",optuna_tuned:best_config.json(full_model_sibling),0.7519,0.0023
gine_no_3d_infonce,bbbp,scaffold,classification,roc_auc,3,0.733,0.0167,0.6916,0.7744,0.0414,"[0.752, 0.7261, 0.7209]",optuna_tuned:best_config.json(full_model_sibling),0.733,0.0167
gine_no_3d_infonce,bace,scaffold,classification,roc_auc,3,0.8248,0.0119,0.7951,0.8544,0.0297,"[0.8344, 0.8284, 0.8114]",optuna_tuned:best_config.json(full_model_sibling),0.8248,0.0119
gine_no_3d_infonce,sider,scaffold,classification,roc_auc,3,0.585,0.0247,0.5236,0.6463,0.0613,"[0.61, 0.5842, 0.5607]",optuna_tuned:best_config.json(full_model_sibling),0.585,0.0247
gine_no_3d_infonce,clintox,scaffold,classification,roc_auc,4,0.7714,0.0127,0.7512,0.7916,0.0202,"[0.7874, 0.7718, 0.7701, 0.7563]",optuna_tuned:best_config.json(full_model_sibling),0.7714,0.0127
gine_no_3d_infonce,toxcast,scaffold,classification,roc_auc,3,0.6297,0.0092,0.6068,0.6525,0.0229,"[0.6403, 0.6246, 0.6241]",optuna_tuned:best_config.json(full_model_sibling),0.6297,0.0092
gine_no_3d_infonce,hiv,scaffold,classification,roc_auc,1,0.7628,0.0,0.7628,0.7628,0.0,[0.7628],optuna_tuned:best_config.json(full_model_sibling),0.7628,0.0
gine_no_3d_codebook,tox21,scaffold,classification,roc_auc,2,0.7418,0.0114,0.6398,0.8438,0.102,"[0.7498, 0.7338]",optuna_tuned:best_config.json(full_model_sibling),0.7418,0.0114
gine_no_3d_codebook,bbbp,scaffold,classification,roc_auc,1,0.7131,0.0,0.7131,0.7131,0.0,[0.7131],optuna_tuned:best_config.json(full_model_sibling),0.7131,0.0
gine_no_3d_codebook,bace,scaffold,classification,roc_auc,2,0.8306,0.0145,0.6999,0.9612,0.1306,"[0.8409, 0.8203]",optuna_tuned:best_config.json(full_model_sibling),0.8306,0.0145
gine_no_3d_codebook,sider,scaffold,classification,roc_auc,1,0.5933,0.0,0.5933,0.5933,0.0,[0.5933],optuna_tuned:best_config.json(full_model_sibling),0.5933,0.0
gine_no_3d_codebook,clintox,scaffold,classification,roc_auc,2,0.8306,0.0168,0.6798,0.9814,0.1508,"[0.8425, 0.8187]",optuna_tuned:best_config.json(full_model_sibling),0.8306,0.0168
gine_no_3d_codebook,toxcast,scaffold,classification,roc_auc,1,0.6357,0.0,0.6357,0.6357,0.0,[0.6357],optuna_tuned:best_config.json(full_model_sibling),0.6357,0.0
gine_no_3d_codebook,hiv,scaffold,classification,roc_auc,1,0.7741,0.0,0.7741,0.7741,0.0,[0.7741],optuna_tuned:best_config.json(full_model_sibling),0.7741,0.0
gine_no_3d_fp,tox21,scaffold,classification,roc_auc,2,0.734,0.0037,0.7012,0.7669,0.0328,"[0.7366, 0.7314]",optuna_tuned:best_config.json(full_model_sibling),0.734,0.0037
gine_no_3d_fp,bbbp,scaffold,classification,roc_auc,1,0.6697,0.0,0.6697,0.6697,0.0,[0.6697],optuna_tuned:best_config.json(full_model_sibling),0.6697,0.0
gine_no_3d_fp,bace,scaffold,classification,roc_auc,2,0.7625,0.0143,0.6336,0.8914,0.1289,"[0.7726, 0.7524]",optuna_tuned:best_config.json(full_model_sibling),0.7625,0.0143
gine_no_3d_fp,sider,scaffold,classification,roc_auc,1,0.6123,0.0,0.6123,0.6123,0.0,[0.6123],optuna_tuned:best_config.json(full_model_sibling),0.6123,0.0
gine_no_3d_fp,clintox,scaffold,classification,roc_auc,2,0.7856,0.0113,0.684,0.8873,0.1016,"[0.7936, 0.7776]",optuna_tuned:best_config.json(full_model_sibling),0.7856,0.0113
gine_no_3d_fp,toxcast,scaffold,classification,roc_auc,1,0.611,0.0,0.611,0.611,0.0,[0.611],optuna_tuned:best_config.json(full_model_sibling),0.611,0.0
gine_no_3d_fp,hiv,scaffold,classification,roc_auc,1,0.7423,0.0,0.7423,0.7423,0.0,[0.7423],optuna_tuned:best_config.json(full_model_sibling),0.7423,0.0
gine_no_infonce_codebook,tox21,scaffold,classification,roc_auc,2,0.7531,0.0068,0.6916,0.8147,0.0615,"[0.758, 0.7483]",optuna_tuned:best_config.json(full_model_sibling),0.7531,0.0068
gine_no_infonce_codebook,bbbp,scaffold,classification,roc_auc,1,0.7048,0.0,0.7048,0.7048,0.0,[0.7048],optuna_tuned:best_config.json(full_model_sibling),0.7048,0.0
gine_no_infonce_codebook,bace,scaffold,classification,roc_auc,2,0.8353,0.006,0.7818,0.8888,0.0535,"[0.8395, 0.8311]",optuna_tuned:best_config.json(full_model_sibling),0.8353,0.006
gine_no_infonce_codebook,sider,scaffold,classification,roc_auc,1,0.5992,0.0,0.5992,0.5992,0.0,[0.5992],optuna_tuned:best_config.json(full_model_sibling),0.5992,0.0
gine_no_infonce_codebook,clintox,scaffold,classification,roc_auc,2,0.8359,0.0112,0.7353,0.9366,0.1007,"[0.8438, 0.828]",optuna_tuned:best_config.json(full_model_sibling),0.8359,0.0112
gine_no_infonce_codebook,toxcast,scaffold,classification,roc_auc,1,0.6385,0.0,0.6385,0.6385,0.0,[0.6385],optuna_tuned:best_config.json(full_model_sibling),0.6385,0.0
