ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_mae,mean_test_r2,train_test_shift_sd,r2_reliable
gine_no_3d_infonce,malaria,scaffold,regression,rmse,4,1.8848,0.0871,1.7463,2.0234,0.1385,"[1.7742, 1.8576, 1.9424, 1.9651]",optuna_tuned:best_config.json(full_model_sibling),1.6145,-2.7457,1.585,False
gine_no_3d_codebook,esol,scaffold,regression,rmse,2,1.0702,0.0015,1.0565,1.0838,0.0136,"[1.0691, 1.0712]",optuna_tuned:best_config.json(full_model_sibling),0.8043,0.7451,0.45,True
gine_no_3d_codebook,freesolv,scaffold,regression,rmse,2,2.9973,0.4249,-0.8206,6.8152,3.8179,"[2.6968, 3.2978]",optuna_tuned:best_config.json(full_model_sibling),1.9954,0.3135,0.8,True
gine_no_3d_codebook,lipo,scaffold,regression,rmse,2,0.73,0.0131,0.6124,0.8476,0.1176,"[0.7208, 0.7393]",optuna_tuned:best_config.json(full_model_sibling),0.5489,0.5626,0.166,True
gine_no_3d_codebook,cep,scaffold,regression,rmse,2,1.0965,0.0177,0.9376,1.2555,0.1589,"[1.084, 1.109]",optuna_tuned:best_config.json(full_model_sibling),0.5746,0.8151,0.011,True
gine_no_3d_codebook,malaria,scaffold,regression,rmse,2,1.8285,0.1047,0.8878,2.7693,0.9408,"[1.7545, 1.9026]",optuna_tuned:best_config.json(full_model_sibling),1.535,-2.5255,1.585,False
gine_no_3d_fp,esol,scaffold,regression,rmse,2,1.1391,0.0553,0.6426,1.6357,0.4966,"[1.1001, 1.1782]",optuna_tuned:best_config.json(full_model_sibling),0.8862,0.7108,0.45,True
gine_no_3d_fp,freesolv,scaffold,regression,rmse,2,3.3022,0.0417,2.9272,3.6771,0.3749,"[3.2727, 3.3317]",optuna_tuned:best_config.json(full_model_sibling),2.1782,0.1749,0.8,True
gine_no_3d_fp,lipo,scaffold,regression,rmse,2,0.8668,0.0646,0.2864,1.4472,0.5804,"[0.8211, 0.9125]",optuna_tuned:best_config.json(full_model_sibling),0.6575,0.3818,0.166,True
gine_no_3d_fp,cep,scaffold,regression,rmse,2,1.1645,0.0229,0.9584,1.3706,0.2061,"[1.1483, 1.1807]",optuna_tuned:best_config.json(full_model_sibling),0.6528,0.7915,0.011,True
gine_no_3d_fp,malaria,scaffold,regression,rmse,2,1.8871,0.0055,1.8377,1.9365,0.0494,"[1.8832, 1.891]",optuna_tuned:best_config.json(full_model_sibling),1.602,-2.7487,1.585,False
gine_no_infonce_codebook,esol,scaffold,regression,rmse,2,0.9311,0.0305,0.6574,1.2047,0.2736,"[0.9095, 0.9526]",optuna_tuned:best_config.json(full_model_sibling),0.6932,0.8069,0.45,True
gine_no_infonce_codebook,freesolv,scaffold,regression,rmse,2,2.9468,0.0069,2.8848,3.0088,0.062,"[2.9419, 2.9517]",optuna_tuned:best_config.json(full_model_sibling),1.9455,0.343,0.8,True
gine_no_infonce_codebook,lipo,scaffold,regression,rmse,2,0.7202,0.0277,0.4712,0.9692,0.249,"[0.7006, 0.7398]",optuna_tuned:best_config.json(full_model_sibling),0.5498,0.5741,0.166,True
gine_no_infonce_codebook,cep,scaffold,regression,rmse,2,1.1082,0.0247,0.886,1.3305,0.2223,"[1.0907, 1.1257]",optuna_tuned:best_config.json(full_model_sibling),0.5859,0.8112,0.011,True
gine_no_infonce_codebook,malaria,scaffold,regression,rmse,2,1.8468,0.0637,1.2746,2.419,0.5722,"[1.8017, 1.8918]",optuna_tuned:best_config.json(full_model_sibling),1.54,-2.5924,1.585,False
