ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_mae,mean_test_r2,train_test_shift_sd,r2_reliable
gcn_no_3d_infonce,esol,scaffold,regression,rmse,5,1.1159,0.0438,1.0616,1.1702,0.0543,"[1.0746, 1.0961, 1.0999, 1.1204, 1.1886]",optuna_tuned:best_config.json(full_model_sibling),0.8478,0.7225,0.45,True
gcn_no_3d_infonce,freesolv,scaffold,regression,rmse,5,2.1982,0.4091,1.6902,2.7061,0.5079,"[1.8231, 1.98, 2.0643, 2.2466, 2.877]",optuna_tuned:best_config.json(full_model_sibling),1.7203,0.6243,0.8,True
gcn_no_3d_infonce,lipo,scaffold,regression,rmse,5,0.7329,0.0157,0.7133,0.7524,0.0195,"[0.7163, 0.7164, 0.7367, 0.7458, 0.749]",optuna_tuned:best_config.json(full_model_sibling),0.5634,0.5592,0.166,True
gcn_no_3d_infonce,cep,scaffold,regression,rmse,5,1.1026,0.0364,1.0573,1.1479,0.0453,"[1.0731, 1.0735, 1.0818, 1.1415, 1.1432]",optuna_tuned:best_config.json(full_model_sibling),0.5593,0.813,0.011,True
gcn_no_3d_infonce,malaria,scaffold,regression,rmse,5,1.9345,0.0228,1.9062,1.9628,0.0283,"[1.8995, 1.9242, 1.9446, 1.9479, 1.9561]",optuna_tuned:best_config.json(full_model_sibling),1.6451,-2.9397,1.585,False
gcn_no_3d_codebook,esol,scaffold,regression,rmse,5,1.1401,0.0241,1.1102,1.17,0.0299,"[1.1041, 1.1325, 1.1446, 1.1499, 1.1693]",optuna_tuned:best_config.json(full_model_sibling),0.899,0.7106,0.45,True
gcn_no_3d_codebook,freesolv,scaffold,regression,rmse,5,2.122,0.0948,2.0042,2.2397,0.1177,"[1.9988, 2.1017, 2.1136, 2.1316, 2.2642]",optuna_tuned:best_config.json(full_model_sibling),1.6057,0.6588,0.8,True
gcn_no_3d_codebook,lipo,scaffold,regression,rmse,5,0.7187,0.005,0.7125,0.7249,0.0062,"[0.7114, 0.7176, 0.7178, 0.7226, 0.7242]",optuna_tuned:best_config.json(full_model_sibling),0.5501,0.5761,0.166,True
gcn_no_3d_codebook,cep,scaffold,regression,rmse,5,1.1095,0.0184,1.0867,1.1324,0.0229,"[1.0804, 1.1054, 1.1114, 1.125, 1.1254]",optuna_tuned:best_config.json(full_model_sibling),0.5588,0.8107,0.011,True
gcn_no_3d_codebook,malaria,scaffold,regression,rmse,5,1.9719,0.0292,1.9356,2.0082,0.0363,"[1.9446, 1.9484, 1.96, 2.0015, 2.005]",optuna_tuned:best_config.json(full_model_sibling),1.6938,-3.0939,1.585,False
gcn_no_3d_fp,esol,scaffold,regression,rmse,5,1.3317,0.0496,1.2701,1.3933,0.0616,"[1.2896, 1.2975, 1.3212, 1.3363, 1.4139]",optuna_tuned:best_config.json(full_model_sibling),1.0546,0.6048,0.45,True
gcn_no_3d_fp,freesolv,scaffold,regression,rmse,5,2.8917,0.3403,2.4692,3.3143,0.4225,"[2.4494, 2.6211, 3.026, 3.1143, 3.2478]",optuna_tuned:best_config.json(full_model_sibling),2.182,0.3603,0.8,True
gcn_no_3d_fp,lipo,scaffold,regression,rmse,5,0.9097,0.02,0.8848,0.9345,0.0248,"[0.8822, 0.9022, 0.9086, 0.9195, 0.9359]",optuna_tuned:best_config.json(full_model_sibling),0.7042,0.3207,0.166,True
gcn_no_3d_fp,cep,scaffold,regression,rmse,5,1.4133,0.0273,1.3794,1.4472,0.0339,"[1.3697, 1.4143, 1.4169, 1.4204, 1.4452]",optuna_tuned:best_config.json(full_model_sibling),0.9153,0.6929,0.011,True
gcn_no_3d_fp,malaria,scaffold,regression,rmse,5,1.9485,0.0228,1.9201,1.9769,0.0284,"[1.9141, 1.945, 1.951, 1.9549, 1.9775]",optuna_tuned:best_config.json(full_model_sibling),1.6633,-2.9971,1.585,False
gcn_no_infonce_codebook,esol,scaffold,regression,rmse,5,0.9297,0.0265,0.8969,0.9626,0.0328,"[0.8901, 0.9263, 0.9331, 0.9353, 0.964]",optuna_tuned:best_config.json(full_model_sibling),0.7,0.8075,0.45,True
gcn_no_infonce_codebook,freesolv,scaffold,regression,rmse,5,2.2656,0.1943,2.0244,2.5068,0.2412,"[2.0566, 2.104, 2.3101, 2.3145, 2.5427]",optuna_tuned:best_config.json(full_model_sibling),1.7597,0.6094,0.8,True
gcn_no_infonce_codebook,lipo,scaffold,regression,rmse,5,0.7098,0.0104,0.6969,0.7227,0.0129,"[0.6951, 0.7066, 0.7115, 0.7118, 0.724]",optuna_tuned:best_config.json(full_model_sibling),0.5442,0.5865,0.166,True
gcn_no_infonce_codebook,cep,scaffold,regression,rmse,5,1.0942,0.0228,1.0659,1.1226,0.0283,"[1.075, 1.0784, 1.0861, 1.1007, 1.131]",optuna_tuned:best_config.json(full_model_sibling),0.5293,0.8159,0.011,True
gcn_no_infonce_codebook,malaria,scaffold,regression,rmse,5,1.9591,0.0119,1.9442,1.9739,0.0148,"[1.9419, 1.9544, 1.9595, 1.9661, 1.9734]",optuna_tuned:best_config.json(full_model_sibling),1.6776,-3.0402,1.585,False
