split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_no_3d_fp,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.4133,0.0273,1.4914,"[1.4204, 1.4452, 1.4143, 1.4169, 1.3697]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.009005588897543012,0.1,64,4,False,head,True,0.9153,0.6929
scaffold,gcn_no_3d_fp,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.3317,0.0496,1.313,"[1.2975, 1.3363, 1.2896, 1.3212, 1.4139]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.08387167822214522,0.02,16,8,False,head,True,1.0546,0.6048
scaffold,gcn_no_3d_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.8917,0.3403,3.9394,"[3.026, 2.4494, 3.1143, 3.2478, 2.6211]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.1,64,6,False,head,True,2.182,0.3603
scaffold,gcn_no_3d_fp,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9097,0.02,0.9019,"[0.9195, 0.9022, 0.9359, 0.9086, 0.8822]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.1,64,6,False,head,True,0.7042,0.3207
scaffold,gcn_no_3d_fp,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9485,0.0228,0.6571,"[1.951, 1.9775, 1.945, 1.9549, 1.9141]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0036055908285175485,0.05,16,3,False,head,True,1.6633,-2.9971
scaffold,gcn_no_3d_infonce,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1026,0.0364,1.1708,"[1.0818, 1.1432, 1.1415, 1.0731, 1.0735]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.009005588897543012,0.0,64,4,True,head,True,0.5593,0.813
scaffold,gcn_no_3d_infonce,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1159,0.0438,1.0806,"[1.1886, 1.0746, 1.0999, 1.1204, 1.0961]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.08387167822214522,0.0,16,8,True,head,True,0.8478,0.7225
scaffold,gcn_no_3d_infonce,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.1982,0.4091,3.1796,"[2.2466, 1.98, 2.877, 2.0643, 1.8231]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,64,6,True,head,True,1.7203,0.6243
scaffold,gcn_no_3d_infonce,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7329,0.0157,0.7422,"[0.749, 0.7164, 0.7163, 0.7367, 0.7458]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,64,6,True,head,True,0.5634,0.5592
scaffold,gcn_no_3d_infonce,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9345,0.0228,0.6604,"[1.9561, 1.8995, 1.9446, 1.9479, 1.9242]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0036055908285175485,0.0,16,3,True,head,True,1.6451,-2.9397
scaffold,gcn_no_3d_infonce_codebook,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.1029,0.0049,1.1499,"[1.0977, 1.1108, 1.1007, 1.1037, 1.1016]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.009005588897543012,0.0,0,0,True,head,True,0.5376,0.813
scaffold,gcn_no_3d_infonce_codebook,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.138,0.0319,1.0814,"[1.1207, 1.187, 1.1438, 1.137, 1.1014]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.08387167822214522,0.0,0,0,True,head,True,0.8955,0.7116
scaffold,gcn_no_3d_infonce_codebook,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.1006,0.0766,3.5278,"[2.0263, 2.0279, 2.1666, 2.091, 2.1913]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,0,0,True,head,True,1.59,0.6658
scaffold,gcn_no_3d_infonce_codebook,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7102,0.0177,0.7455,"[0.6915, 0.727, 0.7156, 0.7256, 0.6915]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,0,0,True,head,True,0.5481,0.5859
scaffold,gcn_no_3d_infonce_codebook,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.973,0.0272,0.6698,"[1.9995, 1.9532, 1.9499, 1.9567, 2.0055]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0036055908285175485,0.0,0,0,True,head,True,1.6951,-3.0983
scaffold,gcn_no_3d_infonce_codebook_fp,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.3717,0.0348,1.4407,"[1.3692, 1.4121, 1.3357, 1.4016, 1.3399]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.009005588897543012,0.0,0,0,False,head,True,0.8702,0.7106
scaffold,gcn_no_3d_infonce_codebook_fp,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.4254,0.0708,1.3264,"[1.3293, 1.5081, 1.4774, 1.3901, 1.4222]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.08387167822214522,0.0,0,0,False,head,True,1.1312,0.5469
scaffold,gcn_no_3d_infonce_codebook_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.6813,0.1968,3.9315,"[2.6858, 2.3897, 2.9196, 2.7826, 2.6289]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,0,0,False,head,True,2.0191,0.4537
scaffold,gcn_no_3d_infonce_codebook_fp,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.8995,0.0199,0.9245,"[0.9218, 0.9007, 0.8704, 0.9126, 0.8917]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,0,0,False,head,True,0.7095,0.3359
scaffold,gcn_no_3d_infonce_codebook_fp,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",2.0105,0.01,0.6805,"[2.0276, 2.0071, 2.0078, 2.0088, 2.0014]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0036055908285175485,0.0,0,0,False,head,True,1.733,-3.2553
scaffold,gcn_no_3d_infonce_fp,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.4266,0.02,1.5008,"[1.4031, 1.4532, 1.4164, 1.4201, 1.4403]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.009005588897543012,0.0,64,4,False,head,True,0.9272,0.6871
