split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8123,0.0149,0.7384,"[0.8087, 0.7957, 0.8362, 0.8075, 0.8134]",optuna_tuned:best_config.json,gcn,False,0.0012722530021612413,0.05,16,8,True,head,True,,
scaffold,gcn_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7089,0.0106,0.9563,"[0.7016, 0.7239, 0.7146, 0.707, 0.6973]",optuna_tuned:best_config.json,gcn,False,0.0036055908285175485,0.05,16,3,True,head,True,,
scaffold,gcn_full_model,clintox,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8852,0.0178,0.9835,"[0.8841, 0.9075, 0.8598, 0.8949, 0.8794]",optuna_tuned:best_config.json,gcn,False,0.08387167822214522,0.02,16,8,True,head,True,,
scaffold,gcn_full_model,hiv,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7672,0.0301,0.8245,"[0.7847, 0.7811, 0.7685, 0.7149, 0.787]",optuna_tuned:best_config.json,gcn,False,0.0010271807131052074,0.1,64,6,True,head,True,,
scaffold,gcn_full_model,sider,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6089,0.0122,0.608,"[0.6141, 0.6042, 0.6276, 0.597, 0.6017]",optuna_tuned:best_config.json,gcn,False,0.08387167822214522,0.02,16,8,True,head,True,,
scaffold,gcn_full_model,tox21,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7461,0.0047,0.7765,"[0.7418, 0.7429, 0.7517, 0.7434, 0.7507]",optuna_tuned:best_config.json,gcn,False,0.0035920163182908416,0.02,16,8,True,head,True,,
scaffold,gcn_full_model,toxcast,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.623,0.004,0.6571,"[0.6244, 0.6163, 0.6234, 0.6272, 0.6237]",optuna_tuned:best_config.json,gcn,False,0.18973332010466612,0.1,32,6,True,head,True,,
scaffold,gcn_no_3d,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8239,0.0098,0.7432,"[0.838, 0.8158, 0.8161, 0.8301, 0.8197]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0012722530021612413,0.05,16,8,True,head,True,,
scaffold,gcn_no_3d,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7065,0.0157,0.9507,"[0.726, 0.7195, 0.7029, 0.6901, 0.6938]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0036055908285175485,0.05,16,3,True,head,True,,
scaffold,gcn_no_3d,clintox,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8623,0.0169,0.9665,"[0.8764, 0.8565, 0.8354, 0.8745, 0.8688]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.08387167822214522,0.02,16,8,True,head,True,,
