split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gat_full_model,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.4429,0.1085,3.0158,"[2.4003, 2.4405, 2.4788, 2.5957, 2.2993]",optuna_tuned,gat,False,0.0039222152370481465,0.05,16,8,True,head,True,1.7848,0.5478
scaffold,gat_no_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.3606,0.1403,3.3049,"[2.1388, 2.5185, 2.3836, 2.4211, 2.3409]",optuna_tuned,gat,False,0.0039222152370481465,0.05,16,8,False,head,True,1.7303,0.5772
scaffold,gcn_full_model,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.5001,0.1165,2.4838,"[2.5883, 2.383, 2.6, 2.5652, 2.3639]",optuna_tuned,gcn,False,0.0039222152370481465,0.05,16,8,True,head,True,1.8637,0.5263
scaffold,gcn_no_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.7854,0.2366,3.0353,"[2.7034, 2.4771, 2.9815, 2.7026, 3.0625]",optuna_tuned,gcn,False,0.0039222152370481465,0.05,16,8,False,head,True,2.1777,0.4096
scaffold,gine_full_model,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",3.1693,0.3439,3.4813,"[2.8693, 3.1107, 2.815, 3.5344, 3.5169]",optuna_tuned,gine,False,0.0039222152370481465,0.05,16,8,True,head,True,2.3691,0.2329
scaffold,gine_no_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",3.5114,0.5844,3.9526,"[3.3725, 3.2247, 4.0669, 4.135, 2.7582]",optuna_tuned,gine,False,0.0039222152370481465,0.05,16,8,False,head,True,2.53,0.0464
