split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7702,0.0737,0.6968,"[0.8208, 0.6471, 0.7578, 0.8022, 0.8232]",optuna_tuned:best_config.json,gcn,False,0.03345674213696821,0.1,64,6,True,head,True,,
scaffold,gcn_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7403,0.0125,0.9557,"[0.7343, 0.7289, 0.731, 0.7564, 0.7509]",optuna_tuned:best_config.json,gcn,False,0.005288622176491505,0.05,32,6,True,head,True,,
scaffold,gcn_full_model,sider,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.61,0.0165,0.6097,"[0.6122, 0.6139, 0.5944, 0.6346, 0.595]",optuna_tuned:best_config.json,gcn,False,0.0010271807131052074,0.1,64,6,True,head,True,,
scaffold,gcn_no_fp,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.792,0.0135,0.6499,"[0.7871, 0.783, 0.7859, 0.8159, 0.788]",optuna_tuned:best_config.json,gcn,False,0.009611426142207991,0.05,32,8,False,head,True,,
scaffold,gcn_no_fp,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6857,0.0108,0.9456,"[0.6874, 0.6966, 0.6712, 0.6948, 0.6787]",optuna_tuned:best_config.json,gcn,False,0.0018844731205676561,0.05,16,4,False,head,True,,
scaffold,gcn_no_fp,sider,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6126,0.0119,0.5657,"[0.6118, 0.6189, 0.5923, 0.6189, 0.6212]",optuna_tuned:best_config.json,gcn,False,0.0018844731205676561,0.05,16,4,False,head,True,,
