split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_full_model,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.8814,0.0235,0.9362,"[0.875, 0.8672, 0.9119, 0.8988, 0.8542]",optuna_tuned:best_config.json,gcn,False,0.08387167822214522,0.02,16,8,True,head,True,0.667,0.827
scaffold,gcn_full_model,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.8386,0.3134,3.1311,"[3.0205, 3.2645, 2.4442, 2.741, 2.723]",optuna_tuned:best_config.json,gcn,False,0.1123432633313849,0.05,64,4,True,head,True,2.1072,0.3844
scaffold,gcn_no_fp,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9575,0.0398,0.9332,"[1.0138, 0.9398, 0.9825, 0.936, 0.9155]",optuna_tuned:best_config.json,gcn,False,0.04146366737876131,0.05,32,8,False,head,True,0.7469,0.7956
scaffold,gcn_no_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.8119,0.4966,3.3354,"[3.3258, 2.6678, 2.3582, 2.3577, 3.3498]",optuna_tuned:best_config.json,gcn,False,0.0039222152370481465,0.05,32,8,False,head,True,2.2729,0.3869
