split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_full_model,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7897,0.0131,0.6683,"[0.7692, 0.7967, 0.7911, 0.7873, 0.8041]",optuna_tuned:best_config.json,gcn,False,0.05943176207886525,0.05,64,6,True,head,True,,
scaffold,gcn_full_model,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.7398,0.0111,0.9556,"[0.728, 0.7325, 0.7352, 0.7502, 0.7529]",optuna_tuned:best_config.json,gcn,False,0.005288622176491505,0.05,32,6,True,head,True,,
scaffold,gcn_full_model,clintox,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8666,0.015,0.985,"[0.8694, 0.8611, 0.845, 0.8714, 0.8859]",optuna_tuned:best_config.json,gcn,False,0.08387167822214522,0.02,16,8,True,head,True,,
scaffold,gcn_full_model,sider,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6226,0.0152,0.6045,"[0.614, 0.6043, 0.6231, 0.6264, 0.645]",optuna_tuned:best_config.json,gcn,False,0.005288622176491505,0.05,32,6,True,head,True,,
scaffold,gcn_no_fp,bace,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8071,0.0069,0.6856,"[0.8083, 0.8053, 0.7969, 0.8158, 0.8092]",optuna_tuned:best_config.json,gcn,False,0.013527666095282886,0.02,16,6,False,head,True,,
scaffold,gcn_no_fp,bbbp,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.682,0.0083,0.9454,"[0.6849, 0.6928, 0.67, 0.6819, 0.6803]",optuna_tuned:best_config.json,gcn,False,0.0018844731205676561,0.05,16,4,False,head,True,,
scaffold,gcn_no_fp,clintox,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.8028,0.0167,0.972,"[0.773, 0.8106, 0.8103, 0.8119, 0.8081]",optuna_tuned:best_config.json,gcn,False,0.0018844731205676561,0.05,16,4,False,head,True,,
scaffold,gcn_no_fp,sider,classification,roc_auc,5,"[0, 1, 2, 3, 42]",0.6203,0.0172,0.5686,"[0.6071, 0.6107, 0.6067, 0.6444, 0.6325]",optuna_tuned:best_config.json,gcn,False,0.0018844731205676561,0.05,16,4,False,head,True,,
