split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_full_model,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9037,0.014,0.9263,"[0.8947, 0.8999, 0.9182, 0.8875, 0.9184]",optuna_tuned:best_config.json,gcn,False,0.0010271807131052074,0.1,64,6,True,head,True,0.6863,0.8182
scaffold,gcn_full_model,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",1.963,0.2717,3.1987,"[2.0703, 1.8757, 2.3773, 1.8173, 1.6744]",optuna_tuned:best_config.json,gcn,False,0.0010271807131052074,0.1,64,6,True,head,True,1.5088,0.704
scaffold,gcn_no_fp,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9594,0.0395,0.9387,"[1.0127, 0.9389, 0.987, 0.9434, 0.9152]",optuna_tuned:best_config.json,gcn,False,0.04146366737876131,0.05,32,8,False,head,True,0.75,0.7948
scaffold,gcn_no_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.8205,0.4999,3.347,"[3.34, 2.659, 2.3554, 2.3834, 3.3647]",optuna_tuned:best_config.json,gcn,False,0.0039222152370481465,0.05,32,8,False,head,True,2.2837,0.383
